"","Company","Address","Lat","Long"
"1","AdaptVac ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"2","BGI EUROPE A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"3","Clinical-Microbiomics A/S","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"4","Selskabet af 27. juni 1997 ApS","Gartnerhaven 5, 6823 Ansager",8.754698,55.706107
"5","Embark Biotech ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"6","ALPHALYSE A/S","Rødegårdsvej 209 C 1, 5230 Odense M",10.4243426,55.3777661
"7","AMPLIQON A/S","Stenhuggervej 22, 5230 Odense M",10.419013,55.379057
"8","Eurofins Genomics Denmark A/S","Smedeskovvej 38, 8464 Galten",9.915306,56.15924
"9","BIOPORTO A/S","Tuborg Havnevej 15 st, 2900 Hellerup",12.582695,55.726812
"10","CysBio ApS","Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"11","Fida Biosystems ApS","Generatorvej 6 1, 2860 Søborg",12.466796,55.730498
"12","Sanos A/S","Herlev Hovedgade 82, 2730 Herlev",12.445685,55.721845
"13","GRUNDFOS BIOBOOSTER A/S","Randersvej 22 A, 8870 Langå",9.9001885,56.3984159
"14","BioXpedia A/S","Palle Juul-Jensens Boulevard 82, 8200 Aarhus N",NA,NA
"15","INMOLD A/S","Savsvinget 4, 2970 Hørsholm",12.492466,55.901517
"16","VISIANA ApS","Fremtidsvej 1, 2970 Hørsholm",12.488666,55.869072
"17","GALECTO BIOTECH ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"18","IMMUNITRACK ApS","Lersø Parkallé 42 4, 2100 København Ø",12.556947,55.707777
"19","CiVi Biopharma A/S","Sundkrogsgade 21, 2100 København Ø",12.592722,55.713556
"20","BIOVANTAGE.DK ApS","Skindergade 15, 1159 København K",12.575536,55.680342
"21","AQUAPORIN A/S","Nymøllevej 78, 2800 Kgs. Lyngby",12.522991,55.800266
"22","Qlife ApS","Borupvang 3, 2750 Ballerup",12.383222,55.73255
"23","TAG COPENHAGEN A/S","Kong Georgs Vej 12 B, 2000 Frederiksberg",12.5324821,55.6886708
"24","Artisan Research Labs ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"25","2cureX A/S","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"26","Hoba Therapeutics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"27","Zentexia ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"28","PanCryos ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"29","BIOSYNERGY A/S","Østerhovedvej 4, 5700 Svendborg",10.468692,55.006346
"30","Omiics ApS","Åbogade 15, 8200 Aarhus N",10.187798,56.172331
"31","Unseen Biometrics ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"32","SILMECO ApS","Kenny Drews Vej 101 3 3, 2450 København SV",12.552035,55.644762
"33","AVP BioPharma Consult ApS","Teknikerbyen 5 1, 2830 Virum",12.495471,55.800083
"34","HOEJMARK GROUP A/S","Adelvej 11, 6940 Lem St",8.398529,56.054178
"35","Save Stemcell Center ApS","Sorøvej 108, 4200 Slagelse",11.410814,55.417248
"36","PHARMA EVIDENCE ApS","Sommervej 9, 3520 Farum",12.407308,55.814993
"37","RE Energy Properties A/S","Slotsherrensvej 411 B, 2610 Rødovre",12.4509186,55.7014756
"38","ME-TA ApS","Hollandsvej 12 3, 2800 Kongens Lyngby",12.5090453,55.7657632
"39","BIOMEDIQ A/S","Strandlinien 59, 2791 Dragør",12.674427,55.591342
"40","Consibio ApS","Sindalsvej 37 st, 8240 Risskov",10.217247,56.208203
"41","C- ApS","Margrethevej 20, 2900 Hellerup",12.570431,55.734748
"42","GREATOP SCIENCE &amp; TECHNOLOGY DEVELOPMENT (DENMARK) ApS","Østerøvej 113, 5800 Nyborg",10.816767,55.310212
"43","Dianox ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"44","Octarine Bio ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"45","PreDiagnose ApS","Snedkergangen 4 D, 2690 Karlslunde",12.2356659,55.5717338
"46","Torleif Science ApS","Holcks Plads 14 1, 2700 Brønshøj",12.4962465,55.7058727
"47","RIBOTASK ApS","Blækhatten 33, 5220 Odense SØ",10.461778,55.365686
"48","C4PAIN ApS","M.A. Schultz Vej 7, 9000 Aalborg",9.899963,57.043891
"49","MT-MicroSearch ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"50","Medbroker ApS","Hovedgaden 20, 4621 Gadstrup",12.096114,55.571302
"51","XY Therapeutics ApS","Rosenstandsvej 17 A, 2920 Charlottenlund",12.5653218,55.7586672
"52","PLASTISENS ApS","Kronprinsessegade 40 3, 1306 København K",12.582844,55.684944
"53","CASAD &amp; ASSOCIATES ApS","H.C. Ørsteds Vej 50 C, 1879 Frederiksberg C",NA,NA
"54","CURO Diagnostics ApS","Tværledet 33, 2880 Bagsværd",12.460593,55.763884
"55","EEGTRAINING NORD ApS","Vindfløjen 38, 9380 Vestbjerg",9.952899,57.13436
"56","STRADEVO A/S","Langelinie Allé 29 3 tv, 2100 København Ø",12.59988,55.698936
"57","HOLM CHRISTENSEN BIOSYSTEMER ApS","Odinshøjvej 116, 3140 Ålsgårde",12.522118,56.083406
"58","EntoMass ApS","Løkkensvej 696, 9480 Løkken",9.819518,57.417963
"59","JKastrup.ApS","Kajerødgård 9, 3460 Birkerød",12.422623,55.846381
"60","Biogenity ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"61","Suresh Rattan ApS","Jens Baggesens Vej 112 1 th, 8200 Aarhus N",10.197285,56.171068
"62","ByLykke ApS","Jernbanegade 19 2, 9000 Aalborg",9.9153867,57.0458661
"63","FUTURE ENERGY TECHNOLOGIES ApS","Sarpsborgvej 12, 7600 Struer",8.568567,56.49346
"64","Camilla Gustafsen Holding ApS","Langelandsgade 19, 8000 Aarhus C",10.198168,56.159082
"65","MHJ Research ApS","Høyrups Alle 20, 2900 Hellerup",12.579837,55.73925
"66","VITROX ApS","Åkrogs Strandvej 29 A, 8240 Risskov",10.2711113,56.2018417
"67","L Folkersen Holding ApS","Christoffers Alle 151, 2800 Kongens Lyngby",12.47613,55.755637
"68","BACTICON ApS","Stengårds Alle 31 A, 2800 Kgs. Lyngby",12.485115,55.765287
"69","Mosspiration Biotech ApS","Mellemvang 14 B, 2970 Hørsholm",12.5082169,55.8787735
"70","REDO-Neurosystems ApS","Fredrik Bajers Vej 300, 9220 Aalborg Øst",9.980742,57.015083
"71","AVA Genomics Consultancy ApS","Ålegårdsvej 63, 2740 Skovlunde",12.401883,55.72825
"72","Isanans Pharma ApS","Oscar Ellingers Vej 14, 2000 Frederiksberg",12.515512,55.688059
"73","Henrik Wendler Coaching ApS","Bohrsgade 2 26 2, 1799 København V",12.535591,55.663684
"74","VenomAid Diagnostics ApS","Elektrovej 331, 2800 Kongens Lyngby",12.513566,55.783613
"75","GeCo ApS","Jægersborgvej 32, 2800 Kongens Lyngby",12.514263,55.765679
"76","pond Textile A/S","Balticagade 24, 8000 Aarhus C",10.22157,56.156422
"77","Lophora ApS","Lersø Parkallé 107, 2100 København Ø",12.547055,55.714625
"78","CURASIGHT A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"79","Cirqle Biomedical Contraception ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"80","ONCORAL PHARMA ApS","Klampenborgvej 248 1 mf, 2800 Kongens Lyngby",12.504395,55.770714
"81","Stemmedical A/S","Gyngemose Parkvej 50, 2860 Søborg",12.476164,55.726267
"82","PokeAcell ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"83","AVILEX PHARMA ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"84","STIPE Therapeutics ApS","Inge Lehmanns Gade 10, 8000 Aarhus C",10.215199,56.159024
"85","Blue Cell Therapeutics ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"86","INPROTHER ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"87","XcelCyte A/S","Venlighedsvej 6, 2970 Hørsholm",12.49426,55.873689
"88","OK BIOTECH ApS","Skæring Strandvej 36, 8250 Egå",10.297603,56.220388
"89","Fenucure Medical ApS","Nymøllevej 50, 2800 Kongens Lyngby",12.518041,55.800646
"90","Teitur Trophics ApS","Hjortshøjvangen 112, 8530 Hjortshøj",10.275501,56.252863
"91","CHRETO ApS","Lejrvej 17 1 mf, 3500 Værløse",12.328485,55.783408
"92","Swedish Biomimetics 3000 ApS","Amaliegade 3, 1256 København K",12.591398,55.68218
"93","AimVion A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"94","LACTOBIO A/S","Lersø Parkallé 42 2, 2100 København Ø",12.556947,55.707777
"95","Ankrin Therapeutics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"96","BioVices IPR Holding ApS","Vingårdstræde 18, 1070 København K",12.58287,55.678615
"97","Asarina Pharma ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"98","CBio A/S","Transformervej 8, 2860 Søborg",12.465417,55.732936
"99","Selma Diagnostics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"100","BioPhero ApS","Lersø Parkallé 42 4, 2100 København Ø",12.556947,55.707777
"101","Azebiotics ApS","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"102","BUHL KRONE HOLDING ApS","Skovbakken 54, 3520 Farum",12.397383,55.808327
"103","Orbit Project ApS","Teglgårdstræde 8 B 1, 1452 København K",12.5675035,55.6801869
"104","Pephexia Therapeutics ApS","Ole Maaløes Vej 3 3, 2200 København N",12.556294,55.69883
"105","QNTM Labs ApS","Unsbjergvej 4 A, 5220 Odense SØ",10.4594105,55.3657477
"106","DIET4LIFE ApS","Bygaden 45, 8450 Hammel",9.922812,56.300192
"107","LIPLASOME PHARMA ApS","Tabletvej 1, 7100 Vejle",9.593855,55.736277
"108","Tech 2 Art A/S","Flyvervej 11, 5700 Svendborg",10.568929,55.013725
"109","LEGOMICS ApS","Borgskrivervej 3 2 th, 2400 København NV",12.538408,55.709008
"110","EVOLVA BIOTECH A/S","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"111","THERAZONE ApS","Nordvænget 9, 2791 Dragør",12.670153,55.601769
"112","BioPlus ApS","Kajakvej 2, 2770 Kastrup",12.653931,55.637335
"113","Skandinavisk Cryo Teknik Aps","Knudlundvej 1, 8653 Them",9.577084,56.102187
"114","Bio Bond ApS","Skovvejen 121, 8000 Aarhus C",10.218261,56.168028
"115","UniBio Russia ApS","Langebjerg 1, 4000 Roskilde",12.145912,55.646568
"116","Cellugy ApS","Bautavej 1 A, 8210 Aarhus V",10.146801,56.167022
"117","7TM A/S","Fredensvej 45, 2970 Hørsholm",12.517689,55.890844
"118","ESTIBIO ApS","Brydehusvej 28, 2750 Ballerup",12.374799,55.727983
"119","BIOGALACID ApS","Kystvejen 214, 4671 Strøby",12.28716,55.405466
"120","PIXIEGENE A/S","Axeltorv 3, 1609 København V",12.564111,55.675659
"121","Eurofins Safer At Work Nordics A/S","Smedeskovvej 38, 8464 Galten",9.915306,56.15924
"122","HHC Medical ApS","Hammersholt Byvej 4, 3400 Hillerød",12.327157,55.89599
"123","BIO-Y A/S","Nordlysvænget 10 A, 3000 Helsingør",12.6119414,56.0399673
"124","MiniGut ApS","Dr Neergaards Vej 3 1, 2970 Hørsholm",NA,NA
"125","DM CONSULTING ApS","Strandvejen 198 C, 3070 Snekkersten",12.5894406,56.0092409
"126","Aesculus Bio ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"127","Unibio KSA ApS","Langebjerg 1, 4000 Roskilde",12.145912,55.646568
"128","Beatsco2 ApS","Ordrupvej 109 st th, 2920 Charlottenlund",12.572231,55.760348
"129","Genym Investment Group ApS","Furesøgårdsvej 12, 3520 Farum",12.394944,55.822207
"130","MLMC Therapeutics ApS","Artillerivej 86 1, 2300 København S",12.577975,55.662124
"131","BPBD CONSULT ApS","Egernvej 69, 2000 Frederiksberg",12.522372,55.691146
"132","M-FIELD ENERGY ApS","Majsmarken 1, 9500 Hobro",9.795555,56.654483
"133","Peder Søndergaard Madsen Holding ApS","Krogagre 9, 8240 Risskov",10.210202,56.207396
"134","RiiD IVS","Bøssemagergade 15 st th, 3150 Hellebæk",12.556197,56.069714
"135","HAT_CPH_Holding ApS","Engholmvej 3, 3660 Stenløse",12.198631,55.767261
"136","MARTECH ApS","Havnegade 36 2, 5000 Odense C",10.380924,55.414121
"137","Lindhardt Holdings ApS","Slettehavevej 77, 4690 Haslev",11.996031,55.278268
"138","AndStats II ApS","Aurikelvej 20, 2000 Frederiksberg",12.515391,55.669123
"139","JENSEN BIOCONSULT ApS","Kagsløkke 1, 2700 Brønshøj",12.462901,55.716874
"140","Covitest ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"141","ASML HOLDING ApS","Valmuemarken 16, 5260 Odense S",10.396684,55.367926
"142","PETER HOLST CONSULTING ApS","Tolstojs Alle 14, 2860 Søborg",12.50779,55.739236
"143","KRYSTOF HOLDING ApS","Tokkerodvej 21, 5260 Odense S",10.429142,55.310408
"144","TRT INNOVATIONS APS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"145","WEXOTEC ApS","Holgersvej 15, 2920 Charlottenlund",12.565562,55.750246
"146","KJ EXPORT ApS","Damsbrovej 53, 8382 Hinnerup",10.032056,56.249327
"147","ANGIO ApS","Klampenborgvej 16, 2930 Klampenborg",12.578429,55.770914
"148","BLUE Healthcare Investments ApS","Udsigten 9, 2950 Vedbæk",12.549983,55.859015
"149","Agrofertil-International ApS","Bøgetvej 138, 4913 Horslunde",11.202228,54.943534
"150","ASQARIHolding ApS","Kollelevbakken 33, 2830 Virum",12.461692,55.792516
"151","Aquaporin A/S","Nymøllevej 78, 2800 Kongens Lyngby",12.522991,55.800266
"152","Immudex ApS","Bredevej 2A, 2830 Virum",12.488544,55.790779
"153","Gubra ApS","Agern Alle 1, 2970 Hørsholm",12.492919,55.872775
"154","Eurofins Safer At Work Nordics A/S","Smedeskovvej 38, 8464 Galten",9.915306,56.15924
"155","Lifescience Consulting v/Morten Heide","Gartnerhaven 12, 2800 Kongens Lyngby",12.488998,55.784342
"156","W2ge ApS  Under Konkurs","Baldershøj 24C, st. th., 2635 Ishøj",11.44414,55.830349
"157","Biomodics ApS","Stengårds Alle 31A, 2800 Kongens Lyngby",12.484907,55.760561
"158","Inbicon Kalundborg","Asnæsvej 16, 4400 Kalundborg",11.07961,55.659725
"159","Inbicon Gentofte","Nesa Allé 1, 2820 Gentofte",12.5166,55.757428
"160","Bylykke ApS","Jernbanegade 19, 2., 9000 Aalborg",12.565085,55.675649
"161","Sime Diagnostics ApS","Eremitageparken 301, 2800 Kongens Lyngby",12.534624,55.795045
"162","Videncenter For Rehabilitering og Palliation","Vestergade 17, 5800 Nyborg",10.787127,55.316395
"163","Grundfos Biobooster A/S","Randersvej 22A, 8870 Langå",9.900946,56.397546
"164","Bacticon ApS","Stengårds Alle 31A, 2800 Kongens Lyngby",12.484907,55.760561
"165","Grønland (Cas)","J.C. Jacobsens Gade 1, 1799 København V",NA,NA
"166","Origio A/S","Rugmarken 10, 3650 Ølstykke",12.135413,55.761268
"167","Inbicon Skærbæk","Klippehagevej 22, 7000 Fredericia",9.618162,55.512526
"168","Symphogen A/S","Pederstrupvej 93, 2750 Ballerup",12.33159,55.730186
"169","Wellflower Bio IVS  Under Konkurs","Teglgårdsvej 915, 1. th., 3050 Humlebæk",12.520693,55.955054
"170","V-Biotek ApS","Industrivænget 22, 4622 Havdrup",12.126425,55.549881
"171","Pond A/S","Balticagade 24, 8000 Aarhus C",10.22157,56.156422
"172","Aros Applied Biotechnology A/S","Smedeskovvej 38, 8464 Galten",9.915306,56.15924
"173","Innova","Borgmestervangen 10, 2200 København N",12.540004,55.701357
"174","Tychobio IVS  Under Tvangsopløsning","H.P. Ørums Gade 23, st., 2100 København Ø",NA,NA
"175","Gubra ApS","Hørsholm Kongevej 11B, 2970 Hørsholm",12.499877,55.868254
"176","Karby Invest 2018 ApS  Under Tvangsopløsning","Næssundvej 436, 7960 Karby",8.566374,56.753379
"177","Acutiz ApS","Vestre Skovvej 22B, 8240 Risskov",10.2250747,56.1838234
"178","Betamab ApS  I Likvidation","Hørsholmvej 11, 3050 Humlebæk",12.492931,55.959145
"179","Eyevi IVS  Under Konkurs","Jyllingevej 58, 4. th., 2720 Vanløse",12.483526,55.691899
"180","Immunaware Ku","Blegdamsvej 3B, 7., 2200 København N",12.27712,54.97781
"181","Zealand Pharma A/S","Smedeland 26B, 2600 Glostrup",12.392636,55.681486
"182","Calpro As","Lyskær 3C, 1. tv., 2730 Herlev",12.4340347,55.7136483
"183","Enduro Genetics ApS","Borups Allé 2, 2. th., 2200 København N",12.542608,55.689218
"184","Genxtract ApS  Under Konkurs","Bymosevej 47, 8210 Aarhus V",10.147088,56.173853
"185","Bii","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"186","Au Lab","Høegh-Guldbergs Gade 10, 8000 Aarhus C",NA,NA
"187","Sanos A/S Vejle","Boulevarden 19G, 7100 Vejle",9.524452,55.708638
"188","Sanos A/S Gandrup","Borgergade 39, 9362 Gandrup",10.180549,57.058303
"189","Muna Therapeutics ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"190","2n Pharma ApS","Niels Jernes Vej 10, 9220 Aalborg Øst",9.988313,57.012738
"191","Kalundborg","Asnæsvej 16, 4400 Kalundborg",11.07961,55.659725
"192","Celvivo ApS","Ørbækvej 264, 5220 Odense SØ",10.439462,55.375656
"193","Rkkp","Olof Palmes Allé 15, 8200 Aarhus N",10.187262,56.187253
"194","Qlife ApS - Symbion","Fruebjergvej 3, 2100 København Ø",12.549398,55.715679
"195","Qlife ApS - Randers","Messingvej 44, 8940 Randers SV",10.04975,56.432612
"196","2n Pharma ApS","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"197","Eurofins Genomics Europe Genotyping Screening","Brendstrupgårdsvej 21A, 8200 Aarhus N",10.1866101,56.1929214
"198","Celvivo ApS - Værløse","Ny Vestergårdsvej 21, 3500 Værløse",12.362731,55.783304
"199","Enduro Genetics ApS","Kemitorvet 220, 2800 Kongens Lyngby",12.52294,55.788847
"200","Consibio","Algade 2D, 4281 Gørlev",11.232516,55.536886
"201","Axeltorv 3","Axeltorv 3, 1609 København V",12.564111,55.675659
"202","Grønhøj Skivevej 112","Grønhøj Skivevej 112, 7470 Karup J",9.178257,56.384632
"203","Pentabase Kalundborg","Hovvejen 10, 4400 Kalundborg",11.12219,55.669873
"204","SYMPHOGEN A/S","Pederstrupvej 93, 2750 Ballerup",12.33159,55.730186
"205","AFFITECH A/S","Ole Maaløes Vej 3, 2200 København N",12.556294,55.69883
"206","Iso-D","Violvej 20, 8240 Risskov",10.244188,56.195602
"207","Medakto","Tuborg Sundpark 10 1 tv, 2900 Hellerup",12.586517,55.726936
"208","Stratesis v//Peter Kaastrup","Veksø Bygade 9, 3670 Veksø Sjælland",12.2399,55.754337
"209","NUEVOLUTION A/S","Rønnegade 8 5, 2100 København Ø",12.557341,55.707567
"210","AQUALIFE A/S","Gersonsvej 7, 2900 Hellerup",12.567432,55.733261
"211","Karen Lise Krabbe v/ Karen Krabbe","Gammel Munkegade 4, 8000 Aarhus C",10.204386,56.159246
"212","PHOTOCURE ASA","Lyskær 3 C-D, 2730 Herlev",12.4340347,55.7136483
"213","Koncept v/Fl Dyremose","Vandværksvej 5, 4600 Køge",12.232815,55.397848
"214","Konstruktionsfirmaet af 20 april 2008 v/Ove Hededam","Smørvråvej 5, 5462 Morud",10.191628,55.448166
"215","From Consult","Tibberup Alle 37, 3500 Værløse",12.403428,55.757163
"216","Allarity Therapeutics A/S","Venlighedsvej 1, 2970 Hørsholm",12.49632,55.872832
"217","LH-research development and innovation","Sdr Bjalderupvej 5, 6870 Ølgod",8.56571,55.762724
"218","MKE CONSULTING ApS","Rygårds Alle 51 1, 2900 Hellerup",12.5628107,55.7329808
"219","Tarnow consulting","Helstedsvej 4 F, 3480 Fredensborg",12.3938193,55.9778469
"220","Ditzel Consult","Søgade 4, 8660 Skanderborg",9.935078,56.031334
"221","Bioorganic lead compounds ApS","Carl Th. Zahles Gade 16 3 th, 2300 København S",NA,NA
"222","Biotracer","Willy Brandts Vej 23 1 1, 2450 København SV",12.562059,55.656879
"223","Institute of Molecular Genetics (Prag Tjekkiet)","Strandlyst Alle 14, 2670 Greve",12.295341,55.57844
"224","Panformatics","Nymarks Allé 147, 8320 Mårslet",10.163283,56.059752
"225","Damsbo v/Peter Damsbo","Einar Holbølls Vej 4, 2920 Charlottenlund",12.569633,55.747766
"226","SK Pharma Consulting","Højbjerg Vang 12, 2840 Holte",12.49125,55.826302
"227","L Hartvig","Grønnevang 36, 2970 Hørsholm",12.515286,55.875497
"228","Maria Fischer","Bakkehaven 10, 5330 Munkebo",10.547484,55.451724
"229","OK Consulting v/Otto Kalliokoski","Blegdamsvej 3 B 1 1, 2200 København N",12.27712,54.97781
"230","Medpace Sweden AB","Sundkrogsgade 21 1, 2100 København Ø",12.592722,55.713556
"231","SIME DIAGNOSTICS ApS","Eremitageparken 301, 2800 Kgs.Lyngby",12.534624,55.795045
"232","UrbanMycelium","Fælledvej 14 B 2 th, 2200 København N",10.108058,55.547727
"233","Sciecorp","Marmorvej 9 C 1 th, 2100 København Ø",12.378567,55.259076
"234","HSOProces","Højbjerg Vang 7, 2840 Holte",12.490463,55.825389
